timestep,cpu,memory,net_in,net_out,latency,restarts,anomaly_label,scenario_id,scenario_name
0,47.98947356624878,36.27299201395712,36.210921838047796,32.68116707202042,191.91289625646567,1.0,0,0,normal
1,41.257568618831826,52.4482390286502,69.20110502025992,23.796070563661107,190.26325292269323,1.0,0,0,normal
2,54.49236429319632,47.851553152486126,46.81402574168063,11.459320136838638,109.48832740787697,0.0,0,0,normal
3,46.778538165784276,53.06814448667166,60.735181022433004,18.95676326540614,166.59510057528396,0.0,0,0,normal
4,23.362366193015674,44.71326349131172,24.457364600466537,19.833296531182643,24.047151357023147,2.0,0,0,normal
5,59.942382139094896,27.79771557205383,75.87336729671368,48.152457318594784,153.82259967748885,0.0,0,0,normal
6,52.942844878373236,56.87002993882956,35.77886470169881,22.727668194408967,72.53476391781209,0.0,0,0,normal
7,47.478723296400624,44.100013851309214,19.72987655294636,13.715887940010525,160.03720107703555,0.0,0,0,normal
8,20.998194776536746,48.545114362283556,33.67963166643257,12.509522710969783,184.36499527587713,1.0,0,0,normal
9,42.479154377432806,28.007170206213303,35.776315270538646,14.951685206382384,55.95210485785702,0.0,0,0,normal
10,33.23257348048432,27.546741377205958,37.658147486686076,46.01691238075938,108.0397400362884,1.0,0,0,normal
11,51.45823118355657,41.58043960118945,69.25560761437335,3.9197645462176305,58.07691769793806,0.0,0,0,normal
12,47.589855640759005,48.66329161578298,82.87187209730519,6.007143585587949,96.19251824549993,0.0,0,0,normal
13,54.82894375496394,46.38097908826568,60.99939248553258,8.485101149127281,65.13541601314523,0.0,0,0,normal
14,31.683706924066417,68.33493265899872,42.90377003368502,37.42534868013653,69.32379106257912,0.0,0,0,normal
15,30.0824757332455,41.38123692313352,51.86541906739349,22.790471278991536,216.2109316896316,0.0,0,0,normal
16,45.205723850346885,51.21534712157199,71.2714212858828,28.97583098173478,65.73605885080974,0.0,0,0,normal
17,24.135236050992066,54.73893026612914,67.24597152355517,26.612275729707292,196.8797712205416,0.0,0,0,normal
18,55.72317281474887,28.754436316217458,26.593017178465512,5.248036024582267,66.13173186083402,0.0,0,0,normal
19,39.744499572519594,50.785315309096376,78.37512009482326,45.48701780275348,120.04839834592131,0.0,0,0,normal
20,51.74767022339974,39.09340237370048,27.731720915416016,10.390036565819647,149.13149651971128,1.0,0,0,normal
21,33.07555968731294,51.185923759155266,70.30850449552412,9.63079900758304,176.66854107515755,0.0,0,0,normal
22,57.00676034089755,32.07665228221871,72.06596657759216,26.777358113268455,84.7599375098895,1.0,0,0,normal
23,59.322067290566814,67.52202312028132,61.59471571283851,9.019926628354076,96.49250543620253,0.0,0,0,normal
24,57.172437925647394,67.71874706058854,18.298828827434605,9.640688573168335,151.4109034500535,1.0,0,0,normal
25,35.08802853248014,34.09991352138155,49.568074585826935,50.453187762419994,166.15981382971208,0.0,0,0,normal
26,44.058071635104994,54.02500190548046,13.902939380100102,29.774132671230454,164.74996571045548,0.0,0,0,normal
27,21.44821390496842,60.596531194752735,64.40756620374003,13.63126429380434,62.78151247542296,0.0,0,0,normal
28,27.722460334807288,39.78021554632955,41.168339447275926,23.568384905780402,95.30930904780621,0.0,0,0,normal
29,50.53424961683517,62.004595182627504,67.12039537649314,46.51354192988355,199.85953510624023,0.0,0,0,normal
30,50.42519803351053,56.398198113894196,75.98315091908668,2.5,142.79844705415917,0.0,0,0,normal
31,59.378446049014585,64.96872976409725,22.673923953522355,7.026699546719541,136.19686468024275,1.0,0,0,normal
32,36.4880268530308,69.02505920657126,42.72525584623898,31.944201338122458,123.40474377500172,0.0,0,0,normal
33,34.746257657291025,30.02854796177685,62.24313752979498,30.810375142452024,62.627116205872355,0.0,0,0,normal
34,36.03508470553767,54.86650264992477,34.5671912034199,47.599771510772236,167.73653769891405,1.0,0,0,normal
35,26.095962100027993,51.78531919339387,21.947692707936856,16.81279759412226,159.82665181214247,0.0,0,0,normal
36,27.912501724353834,40.68542578339578,5.0,13.724317437188262,86.50441758162697,0.0,0,0,normal
37,39.22517021383718,43.04956622467141,45.385482720702775,23.68375017432678,192.2603474437098,0.0,0,0,normal
38,30.62721386950872,70.47376083486319,68.02477740693956,33.11475529079056,146.81214352950985,0.0,0,0,normal
